source_name,display_name,icon_url,homepage_url
free-work,Free-Work,https://www.google.com/s2/favicons?domain=free-work.com&sz=64,https://www.free-work.com
wttj,Welcome to the Jungle,https://www.google.com/s2/favicons?domain=welcometothejungle.com&sz=64,https://www.welcometothejungle.com
